unicode,char
U+3031,〱
U+3032,〲
U+3042,あ
U+3044,い
U+3046,う
U+3048,え
U+304A,お
U+304B,か
U+304C,が
U+304D,き
U+304E,ぎ
U+304F,く
U+3050,ぐ
U+3051,け
U+3052,げ
U+3053,こ
U+3054,ご
U+3055,さ
U+3056,ざ
U+3057,し
U+3058,じ
U+3059,す
U+305A,ず
U+305B,せ
U+305C,ぜ
U+305D,そ
U+305E,ぞ
U+305F,た
U+3060,だ
U+3061,ち
U+3062,ぢ
U+3063,っ
U+3064,つ
U+3065,づ
U+3066,て
U+3067,で
U+3068,と
U+3069,ど
U+306A,な
U+306B,に
U+306C,ぬ
U+306D,ね
U+306E,の
U+306F,は
U+3070,ば
U+3071,ぱ
U+3072,ひ
U+3073,び
U+3074,ぴ
U+3075,ふ
U+3076,ぶ
U+3077,ぷ
U+3078,へ
U+3079,べ
U+307A,ぺ
U+307B,ほ
U+307C,ぼ
U+307D,ぽ
U+307E,ま
U+307F,み
U+3080,む
U+3081,め
U+3082,も
U+3083,ゃ
U+3084,や
U+3085,ゅ
U+3086,ゆ
U+3087,ょ
U+3088,よ
U+3089,ら
U+308A,り
U+308B,る
U+308C,れ
U+308D,ろ
U+308F,わ
U+3090,ゐ
U+3091,ゑ
U+3092,を
U+3093,ん
U+309D,ゝ
U+309E,ゞ
U+309F,ゟ
