unicode,char
U+30A1,ァ
U+30A2,ア
U+30A3,ィ
U+30A4,イ
U+30A6,ウ
U+30A8,エ
U+30AA,オ
U+30AB,カ
U+30AC,ガ
U+30AD,キ
U+30AE,ギ
U+30AF,ク
U+30B0,グ
U+30B1,ケ
U+30B2,ゲ
U+30B3,コ
U+30B4,ゴ
U+30B5,サ
U+30B6,ザ
U+30B7,シ
U+30B8,ジ
U+30B9,ス
U+30BA,ズ
U+30BB,セ
U+30BC,ゼ
U+30BD,ソ
U+30BF,タ
U+30C0,ダ
U+30C1,チ
U+30C2,ヂ
U+30C3,ッ
U+30C4,ツ
U+30C5,ヅ
U+30C6,テ
U+30C7,デ
U+30C8,ト
U+30C9,ド
U+30CA,ナ
U+30CB,ニ
U+30CC,ヌ
U+30CD,ネ
U+30CE,ノ
U+30CF,ハ
U+30D0,バ
U+30D1,パ
U+30D2,ヒ
U+30D3,ビ
U+30D4,ピ
U+30D5,フ
U+30D6,ブ
U+30D7,プ
U+30D8,ヘ
U+30D9,ベ
U+30DA,ペ
U+30DB,ホ
U+30DC,ボ
U+30DD,ポ
U+30DE,マ
U+30DF,ミ
U+30E0,ム
U+30E1,メ
U+30E2,モ
U+30E4,ヤ
U+30E6,ユ
U+30E7,ョ
U+30E8,ヨ
U+30E9,ラ
U+30EA,リ
U+30EB,ル
U+30EC,レ
U+30ED,ロ
U+30EF,ワ
U+30F1,ヱ
U+30F2,ヲ
U+30F3,ン
U+30F6,ヶ
U+30FB,・
U+30FC,ー
U+30FD,ヽ
U+30FE,ヾ
